episode,reward,success,turn
778,1.05,1,6
779,1.02,1,3
780,1.06,1,7
781,1.05,1,6
782,1.05,1,6
783,0.85,1,7
784,1.06,1,7
785,0.86,1,8
786,0.85,1,7
787,1.04,1,5
788,1.06,1,7
789,1.05,1,6
790,1.06,1,7
791,0.86,1,8
792,1.06,1,7
793,1.06,1,7
794,1.06,1,7
795,0.65,1,8
796,1.04,1,5
797,0.6499999999999999,1,8
798,1.06,1,7
799,0.6599999999999999,1,9
800,0.86,1,8
801,0.85,1,7
802,1.04,1,5
803,1.05,1,6
804,1.04,1,5
805,1.05,1,6
806,0.44999999999999996,1,9
807,1.05,1,6
808,1.04,1,5
809,0.86,1,8
810,1.03,1,4
811,1.03,1,4
812,1.05,1,6
813,0.8400000000000001,1,6
814,0.45999999999999996,1,10
815,0.6599999999999999,1,9
816,1.06,1,7
817,0.25,1,10
818,1.06,1,7
819,1.04,1,5
820,1.06,1,7
821,0.45999999999999996,1,10
822,1.05,1,6
823,0.25,1,10
824,0.63,1,6
825,0.84,1,6
826,1.05,1,6
827,0.6599999999999999,1,9
828,-2.37,0,11
829,1.05,1,6
830,0.64,1,7
831,1.04,1,5
832,0.6599999999999999,1,9
833,1.05,1,6
834,1.04,1,5
835,1.04,1,5
836,1.06,1,7
837,-1.74,0,11
838,1.05,1,6
839,1.05,1,6
840,0.85,1,7
841,0.84,1,6
842,0.86,1,8
843,1.05,1,6
844,0.85,1,7
845,0.64,1,7
846,1.05,1,6
847,1.03,1,4
848,1.04,1,5
849,1.06,1,7
850,0.25,1,10
851,-2.16,0,11
852,0.45999999999999996,1,10
853,0.25,1,10
854,1.05,1,6
855,0.85,1,7
856,1.06,1,7
857,0.45999999999999996,1,10
858,1.04,1,5
859,0.45999999999999996,1,10
860,1.04,1,5
861,0.86,1,8
862,1.05,1,6
863,1.03,1,4
864,0.6499999999999999,1,8
865,1.04,1,5
866,-2.16,0,11
867,1.04,1,5
868,0.64,1,7
869,0.66,1,9
870,1.05,1,6
871,0.84,1,6
872,1.04,1,5
873,1.05,1,6
874,1.05,1,6
875,1.04,1,5
876,1.05,1,6
877,0.84,1,6
878,-1.74,0,11
879,1.05,1,6
880,-1.95,0,11
881,-1.95,0,11
882,-1.95,0,11
883,1.05,1,6
884,0.84,1,6
885,1.04,1,5
886,1.05,1,6
887,0.84,1,6
888,1.06,1,7
889,0.85,1,7
890,1.05,1,6
891,1.04,1,5
892,0.44999999999999996,1,9
893,1.05,1,6
894,0.86,1,8
895,1.06,1,7
896,0.44999999999999996,1,9
897,1.05,1,6
898,-1.74,0,11
899,1.05,1,6
900,1.04,1,5
901,1.06,1,7
902,1.04,1,5
903,0.84,1,6
904,1.05,1,6
905,1.03,1,4
906,1.06,1,7
907,0.84,1,6
908,1.06,1,7
909,1.04,1,5
910,1.05,1,6
911,1.05,1,6
912,1.03,1,4
913,1.06,1,7
914,-1.74,0,11
915,0.85,1,7
916,0.86,1,8
917,0.86,1,8
918,1.03,1,4
919,1.04,1,5
920,1.06,1,7
921,1.05,1,6
922,0.85,1,7
923,1.05,1,6
924,-2.16,0,11
925,0.85,1,7
926,1.05,1,6
927,1.05,1,6
928,1.04,1,5
929,0.25,1,10
930,1.06,1,7
931,1.06,1,7
932,1.06,1,7
933,1.05,1,6
934,0.66,1,9
935,0.84,1,6
936,0.86,1,8
937,0.86,1,8
938,0.65,1,8
939,0.43999999999999995,1,8
940,1.04,1,5
941,0.64,1,7
942,0.6599999999999999,1,9
943,1.03,1,4
944,0.25,1,10
945,1.05,1,6
946,1.04,1,5
947,1.05,1,6
948,0.64,1,7
949,0.43999999999999995,1,8
950,0.6599999999999999,1,9
951,-1.74,0,11
952,1.06,1,7
953,1.03,1,4
954,1.05,1,6
955,0.85,1,7
956,1.06,1,7
957,0.84,1,6
958,0.45999999999999996,1,10
959,1.04,1,5
960,0.25,1,10
961,1.06,1,7
962,0.43999999999999995,1,8
963,1.05,1,6
964,1.05,1,6
965,-1.74,0,11
966,0.86,1,8
967,1.04,1,5
968,1.06,1,7
969,1.03,1,4
970,1.04,1,5
971,1.06,1,7
972,0.44999999999999996,1,9
973,-1.74,0,11
974,1.04,1,5
975,1.04,1,5
976,1.04,1,5
977,0.65,1,8
978,1.05,1,6
979,0.85,1,7
980,0.24,1,9
981,-1.74,0,11
982,1.04,1,5
983,0.85,1,7
984,1.03,1,4
985,1.05,1,6
986,0.65,1,8
987,0.45999999999999996,1,10
988,1.05,1,6
989,1.04,1,5
990,1.04,1,5
991,1.05,1,6
992,0.84,1,6
993,0.6599999999999999,1,9
994,-1.74,0,11
995,0.83,1,5
996,0.65,1,8
997,1.04,1,5
998,1.05,1,6
999,1.04,1,5
1000,0.8600000000000001,1,8
1001,1.04,1,5
1002,1.06,1,7
1003,0.84,1,6
1004,1.04,1,5
1005,1.06,1,7
1006,0.84,1,6
1007,1.04,1,5
1008,1.06,1,7
1009,1.05,1,6
1010,0.6599999999999999,1,9
1011,1.06,1,7
1012,0.85,1,7
1013,1.06,1,7
1014,1.06,1,7
1015,1.04,1,5
1016,-1.74,0,11
1017,1.05,1,6
1018,1.05,1,6
1019,1.06,1,7
1020,0.25,1,10
1021,1.05,1,6
1022,1.04,1,5
1023,1.04,1,5
1024,1.06,1,7
1025,0.83,1,5
1026,0.84,1,6
1027,0.44999999999999996,1,9
1028,0.86,1,8
1029,1.05,1,6
1030,0.6599999999999999,1,9
1031,0.65,1,8
1032,0.86,1,8
1033,1.05,1,6
1034,1.04,1,5
1035,0.86,1,8
1036,1.05,1,6
1037,0.86,1,8
1038,1.05,1,6
1039,1.05,1,6
1040,0.45999999999999996,1,10
1041,1.06,1,7
1042,0.8500000000000001,1,7
1043,1.06,1,7
1044,1.04,1,5
1045,1.06,1,7
1046,0.6599999999999999,1,9
1047,0.85,1,7
1048,1.06,1,7
1049,-1.74,0,11
1050,1.05,1,6
1051,0.85,1,7
1052,1.03,1,4
1053,1.04,1,5
1054,0.66,1,9
1055,1.04,1,5
1056,1.06,1,7
1057,1.06,1,7
1058,1.03,1,4
1059,1.05,1,6
1060,1.05,1,6
1061,1.06,1,7
1062,1.05,1,6
1063,1.04,1,5
1064,1.04,1,5
1065,1.04,1,5
1066,0.86,1,8
1067,-1.95,0,11
1068,1.05,1,6
1069,0.6599999999999999,1,9
1070,0.6499999999999999,1,8
1071,1.04,1,5
1072,0.86,1,8
1073,1.03,1,4
1074,0.45999999999999996,1,10
1075,0.63,1,6
1076,1.06,1,7
1077,0.85,1,7
1078,1.05,1,6
1079,1.05,1,6
1080,0.83,1,5
1081,0.66,1,9
1082,1.05,1,6
1083,1.03,1,4
1084,0.85,1,7
1085,1.06,1,7
1086,1.05,1,6
1087,0.83,1,5
1088,1.05,1,6
1089,1.06,1,7
1090,-1.74,0,11
1091,1.05,1,6
1092,0.6599999999999999,1,9
1093,1.06,1,7
1094,1.06,1,7
1095,1.05,1,6
1096,-1.74,0,11
1097,1.06,1,7
1098,0.86,1,8
1099,1.05,1,6
1100,1.06,1,7
1101,1.05,1,6
1102,1.05,1,6
1103,0.6599999999999999,1,9
1104,1.05,1,6
1105,1.06,1,7
1106,1.06,1,7
1107,1.05,1,6
1108,1.06,1,7
1109,0.44999999999999996,1,9
1110,1.06,1,7
1111,1.06,1,7
1112,1.05,1,6
1113,-1.95,0,11
1114,1.06,1,7
1115,1.04,1,5
1116,0.8500000000000001,1,7
1117,0.65,1,8
1118,1.04,1,5
1119,1.05,1,6
1120,1.04,1,5
1121,0.25,1,10
1122,-1.74,0,11
1123,0.63,1,6
1124,0.44999999999999996,1,9
1125,1.06,1,7
1126,1.06,1,7
1127,0.6599999999999999,1,9
1128,1.05,1,6
1129,1.05,1,6
1130,1.05,1,6
1131,1.05,1,6
1132,1.06,1,7
1133,1.05,1,6
1134,1.05,1,6
1135,0.86,1,8
1136,0.6599999999999999,1,9
1137,-1.95,0,11
1138,0.85,1,7
1139,0.85,1,7
1140,1.05,1,6
1141,1.05,1,6
1142,1.06,1,7
1143,0.84,1,6
1144,0.6599999999999999,1,9
1145,0.85,1,7
1146,0.85,1,7
1147,1.05,1,6
1148,0.8400000000000001,1,6
1149,1.04,1,5
1150,0.6599999999999999,1,9
1151,0.63,1,6
1152,1.06,1,7
1153,0.6499999999999999,1,8
1154,1.06,1,7
1155,1.05,1,6
1156,1.04,1,5
1157,1.05,1,6
1158,1.05,1,6
1159,1.05,1,6
1160,0.45999999999999996,1,10
1161,1.06,1,7
1162,1.06,1,7
1163,1.05,1,6
1164,1.04,1,5
1165,0.6599999999999999,1,9
1166,1.04,1,5
1167,1.05,1,6
1168,1.06,1,7
1169,-1.74,0,11
1170,1.05,1,6
1171,1.03,1,4
1172,1.05,1,6
1173,1.05,1,6
1174,0.86,1,8
1175,1.04,1,5
1176,1.04,1,5
1177,1.02,1,3
1178,1.05,1,6
1179,1.05,1,6
1180,1.06,1,7
1181,1.04,1,5
1182,1.03,1,4
1183,0.84,1,6
1184,0.83,1,5
1185,1.05,1,6
1186,1.06,1,7
1187,0.83,1,5
1188,1.06,1,7
1189,0.85,1,7
1190,1.05,1,6
1191,1.05,1,6
1192,0.65,1,8
1193,1.04,1,5
1194,0.65,1,8
1195,1.06,1,7
1196,1.05,1,6
1197,1.04,1,5
1198,1.04,1,5
1199,-2.37,0,11
1200,0.65,1,8
1201,0.85,1,7
1202,0.63,1,6
1203,1.06,1,7
1204,1.06,1,7
1205,1.05,1,6
1206,0.25,1,10
1207,1.06,1,7
1208,1.06,1,7
1209,1.06,1,7
1210,1.06,1,7
1211,0.83,1,5
1212,1.06,1,7
1213,-1.74,0,11
1214,1.06,1,7
1215,1.06,1,7
1216,1.06,1,7
1217,1.06,1,7
1218,1.02,1,3
1219,1.06,1,7
1220,1.05,1,6
1221,0.25,1,10
1222,1.04,1,5
1223,1.05,1,6
1224,1.05,1,6
1225,1.06,1,7
1226,0.84,1,6
1227,1.06,1,7
1228,1.06,1,7
1229,0.86,1,8
1230,1.06,1,7
1231,1.06,1,7
1232,1.05,1,6
1233,1.05,1,6
1234,0.85,1,7
1235,1.05,1,6
1236,1.06,1,7
1237,1.06,1,7
1238,1.05,1,6
1239,1.05,1,6
1240,1.06,1,7
1241,1.05,1,6
1242,1.06,1,7
1243,1.05,1,6
1244,1.05,1,6
1245,1.06,1,7
1246,0.85,1,7
1247,1.05,1,6
1248,0.25,1,10
1249,0.65,1,8
1250,1.06,1,7
1251,1.06,1,7
1252,1.06,1,7
1253,1.05,1,6
1254,1.03,1,4
1255,1.06,1,7
1256,1.06,1,7
1257,1.06,1,7
1258,1.06,1,7
1259,1.06,1,7
1260,1.06,1,7
1261,1.06,1,7
1262,0.85,1,7
1263,0.25,1,10
1264,1.05,1,6
1265,1.06,1,7
1266,1.06,1,7
1267,1.05,1,6
1268,1.05,1,6
1269,1.06,1,7
1270,1.05,1,6
1271,-1.95,0,11
1272,-1.74,0,11
